Agency Name,Website
House Office of Inspector General        (OIG),https://www.house.gov/the-house-explained/officers-and-organizations/inspector-general
House Office of the Clerk,https://clerk.house.gov/
"Housing and Urban Development, Department of        (HUD)",https://www.hud.gov/
Housing Office,https://www.hud.gov/program_offices/housing
Immigrant and Employee Rights Section        (IER),https://www.justice.gov/crt/immigrant-and-employee-rights-section
Immigration and Citizenship Services        (USCIS),http://www.uscis.gov
Immigration and Customs Enforcement        (ICE),https://www.ice.gov/
Indian Affairs        (BIA),https://www.bia.gov/
Indian Arts and Crafts Board        (IACB),https://www.doi.gov/iacb/
Indian Health Service        (IHS),http://www.ihs.gov/
Indo-Pacific Command        (USINDOPACOM),https://www.pacom.mil/
Indoor Air Quality        (IAQ),https://www.epa.gov/indoor-air-quality-iaq
"Industry and Security, Bureau of        (BIS)",https://www.bis.doc.gov/
Inspectors General        (CIGIE),http://www.ignet.gov
Institute of Education Sciences        (IES),http://www.ed.gov/about/offices/list/ies/index.html
Institute of Museum and Library Services        (IMLS),https://www.imls.gov/
Inter-American Foundation        (IAF),https://www.iaf.gov/
Interagency Alternative Dispute Resolution Working Group,https://adr.gov/
Interagency Committee for the Management of Noxious and Exotic Weeds,https://www.invasivespeciesinfo.gov/ficmnew
Interior Department        (DOI),https://www.doi.gov/
Internal Revenue Service        (IRS),https://www.irs.gov
International Development Finance Corporation        (DFC),https://www.dfc.gov
"International Labor Affairs, Bureau of        (ILAB)",https://www.dol.gov/agencies/ilab
International Trade Administration        (ITA),https://www.trade.gov/
International Trade Commission        (USITC),https://www.usitc.gov/
Interpol,https://www.justice.gov/interpol-washington
James Madison Memorial Fellowship Foundation,https://www.jamesmadison.gov/
Japan-United States Friendship Commission        (JUSFC),https://www.jusfc.gov/
Job Corps,https://www.jobcorps.gov
John F. Kennedy Center for the Performing Arts,https://www.kennedy-center.org/
Joint Board for the Enrollment of Actuaries,https://www.irs.gov/tax-professionals/enrolled-actuaries/information-about-the-joint-board
Joint Chiefs of Staff,https://www.jcs.mil/
Joint Congressional Committee on Inaugural Ceremonies        (JCCIC),https://www.inaugural.senate.gov/
Joint Fire Science Program        (JFSP),https://www.firescience.gov/
Joint Forces Staff College        (JFSC),https://jfsc.ndu.edu/
"Joint Program Executive Office for Chemical, Biological, Radiological and Nuclear Defense        (JPEO-CBRND)",https://www.jpeocbrnd.osd.mil/
